name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
LUNEKE,133114,117,0.04,89031.37,95.73,0.00,(S),0.00,(S),0.00
LUP,133114,117,0.04,89031.41,82.05,(S),8.55,0.00,5.98,(S)
LUTGRING,133114,117,0.04,89031.45,99.00,0.00,0.00,0.00,0.00,0.00
LUTJE,133114,117,0.04,89031.50,92.31,0.00,(S),0.00,(S),5.13
MACCURDY,133114,117,0.04,89031.54,91.45,(S),0.00,4.27,(S),(S)
MACHOWICZ,133114,117,0.04,89031.59,99.00,0.00,0.00,0.00,0.00,0.00
MACLAURY,133114,117,0.04,89031.63,98.29,0.00,0.00,(S),0.00,(S)
MAGALEI,133114,117,0.04,89031.67,17.95,0.00,52.14,0.00,23.08,6.84
MAGELSSEN,133114,117,0.04,89031.72,85.47,0.00,(S),(S),6.84,4.27
MAHNS,133114,117,0.04,89031.76,94.02,(S),0.00,0.00,(S),(S)
MAJD,133114,117,0.04,89031.80,96.58,(S),(S),0.00,(S),(S)
MAKSYMOWICZ,133114,117,0.04,89031.85,97.44,0.00,0.00,0.00,(S),(S)
MALANOSKI,133114,117,0.04,89031.89,99.15,(S),0.00,0.00,0.00,(S)
MALDONA,133114,117,0.04,89031.93,12.82,(S),(S),0.00,0.00,84.62
MALMOTRA,133114,117,0.04,89031.98,0.00,0.00,94.87,0.00,5.13,0.00
MANESE,133114,117,0.04,89032.02,29.91,(S),57.26,0.00,7.69,(S)
MANGUNE,133114,117,0.04,89032.06,(S),0.00,95.73,(S),(S),(S)
MANIGOLD,133114,117,0.04,89032.11,94.02,(S),0.00,0.00,(S),(S)
MANNAS,133114,117,0.04,89032.15,97.44,(S),0.00,0.00,(S),(S)
MANULI,133114,117,0.04,89032.19,94.87,(S),0.00,0.00,0.00,(S)
MAQUEIRA,133114,117,0.04,89032.24,5.98,0.00,0.00,0.00,0.00,94.02
MARALIT,133114,117,0.04,89032.28,4.27,(S),93.16,0.00,0.00,(S)
MARCZYNSKI,133114,117,0.04,89032.32,99.15,0.00,(S),0.00,0.00,(S)
MARETTI,133114,117,0.04,89032.37,95.73,0.00,0.00,0.00,0.00,4.27
MASAK,133114,117,0.04,89032.41,98.29,0.00,(S),0.00,0.00,(S)
MASHAL,133114,117,0.04,89032.45,70.94,(S),(S),0.00,21.37,4.27
MATCHEM,133114,117,0.04,89032.50,29.91,64.10,0.00,0.00,(S),(S)
MATUCH,133114,117,0.04,89032.54,99.00,0.00,0.00,0.00,0.00,0.00
MAUCIERI,133114,117,0.04,89032.58,95.73,0.00,0.00,0.00,(S),(S)
MAXIAN,133114,117,0.04,89032.63,95.73,0.00,(S),0.00,(S),(S)
MAYOROS,133114,117,0.04,89032.67,95.73,(S),0.00,0.00,(S),0.00
MCCARREY,133114,117,0.04,89032.71,96.58,(S),0.00,0.00,0.00,(S)
MCCREY,133114,117,0.04,89032.76,21.37,70.94,(S),(S),(S),(S)
MCHAYLE,133114,117,0.04,89032.80,4.27,90.60,(S),0.00,(S),0.00
MCNALLAN,133114,117,0.04,89032.84,99.15,0.00,0.00,0.00,(S),(S)
MCVANE,133114,117,0.04,89032.89,79.49,15.38,(S),0.00,(S),(S)
MEDORA,133114,117,0.04,89032.93,88.03,0.00,11.11,0.00,(S),(S)
MEITL,133114,117,0.04,89032.97,92.31,(S),0.00,(S),0.00,6.84
MERCHAIN,133114,117,0.04,89033.02,10.26,(S),0.00,0.00,(S),88.03
MERRIEL,133114,117,0.04,89033.06,62.39,36.75,(S),0.00,0.00,(S)
MERWORTH,133114,117,0.04,89033.10,94.87,0.00,0.00,0.00,0.00,5.13
